trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.08, 'e': 0.9259259259259258}",35,0,-228.3746025,"{0: 16, 1: 6, 2: 8, 3: 3, 4: 2}",0
2,FALSE,"{'a': 0.08, 'e': 0.24038461538461536}",20,0,-37.10974864,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
3,FALSE,"{'a': 0.08, 'e': 0.10822510822510822}",25,0,-143.1602852,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
4,FALSE,"{'a': 0.08, 'e': 0.061274509803921566}",25,0,-56.36299801,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
5,FALSE,"{'a': 0.08, 'e': 0.03937007874015748}",25,13,-39.91207939,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 0}",1
6,FALSE,"{'a': 0.08, 'e': 0.027412280701754388}",25,0,-13.01578378,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,FALSE,"{'a': 0.08, 'e': 0.020177562550443905}",20,0,-8.004900424,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
8,FALSE,"{'a': 0.08, 'e': 0.01547029702970297}",30,0,-60.77829727,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
9,FALSE,"{'a': 0.08, 'e': 0.012236906510034264}",30,0,37.17199611,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,FALSE,"{'a': 0.08, 'e': 0.00992063492063492}",25,5,-3.643008738,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
11,FALSE,"{'a': 0.08, 'e': 0.008204791598293404}",20,0,-39.64862915,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
12,FALSE,"{'a': 0.08, 'e': 0.006898454746136865}",25,11,1.212860115,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,FALSE,"{'a': 0.08, 'e': 0.005880969183721478}",20,0,19.87421178,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,FALSE,"{'a': 0.08, 'e': 0.005073051948051948}",25,5,30.65479445,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,FALSE,"{'a': 0.08, 'e': 0.004420866489832007}",30,16,21.07125339,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
