trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.5, 'e': 0.995}",25,0,-165.0877419,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
2,FALSE,"{'a': 0.5, 'e': 0.99}",30,0,-76.11605245,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
3,FALSE,"{'a': 0.5, 'e': 0.985}",30,0,-108.0761477,"{0: 18, 1: 4, 2: 5, 3: 3, 4: 0}",0
4,FALSE,"{'a': 0.5, 'e': 0.98}",25,0,-204.476184,"{0: 11, 1: 3, 2: 6, 3: 3, 4: 2}",0
5,FALSE,"{'a': 0.5, 'e': 0.975}",25,0,-139.9969569,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
6,FALSE,"{'a': 0.5, 'e': 0.97}",30,0,-213.4627792,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
7,FALSE,"{'a': 0.5, 'e': 0.965}",25,0,-107.7943234,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
8,FALSE,"{'a': 0.5, 'e': 0.96}",20,0,-211.5392075,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
9,FALSE,"{'a': 0.5, 'e': 0.955}",30,0,-152.4953707,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
10,FALSE,"{'a': 0.5, 'e': 0.95}",25,0,-134.7717995,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
11,FALSE,"{'a': 0.5, 'e': 0.945}",30,0,-72.31029973,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
12,FALSE,"{'a': 0.5, 'e': 0.94}",25,0,-145.8304381,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
13,FALSE,"{'a': 0.5, 'e': 0.9349999999999999}",25,0,-162.2272687,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
14,FALSE,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-193.3644505,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
15,FALSE,"{'a': 0.5, 'e': 0.9249999999999999}",25,0,-65.57257718,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
16,FALSE,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-104.7356778,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
17,FALSE,"{'a': 0.5, 'e': 0.9149999999999999}",20,3,-129.1854716,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 2}",1
18,FALSE,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-165.0589454,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
19,FALSE,"{'a': 0.5, 'e': 0.9049999999999999}",25,0,-152.651355,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
20,FALSE,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-129.8882719,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
1,TRUE,"{'a': 0, 'e': 0}",30,0,-84.06747035,"{0: 17, 1: 7, 2: 5, 3: 1, 4: 0}",0
2,TRUE,"{'a': 0, 'e': 0}",20,0,-109.918016,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
3,TRUE,"{'a': 0, 'e': 0}",30,0,-159.5966888,"{0: 18, 1: 6, 2: 3, 3: 0, 4: 3}",0
4,TRUE,"{'a': 0, 'e': 0}",25,0,-162.7782926,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
5,TRUE,"{'a': 0, 'e': 0}",35,0,-173.7069184,"{0: 21, 1: 2, 2: 9, 3: 1, 4: 2}",0
6,TRUE,"{'a': 0, 'e': 0}",25,3,-127.134144,"{0: 11, 1: 4, 2: 4, 3: 2, 4: 1}",1
7,TRUE,"{'a': 0, 'e': 0}",20,0,-95.91460863,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,TRUE,"{'a': 0, 'e': 0}",20,0,-157.8537192,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
9,TRUE,"{'a': 0, 'e': 0}",20,0,-118.0709228,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
10,TRUE,"{'a': 0, 'e': 0}",25,0,-186.7901132,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
