trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-159.705894914823,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,11,-47.999116214211504,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-142.98944291404177,"{0: 15, 1: 9, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-83.05258060397966,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-121.49864675537725,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,6,-92.18687518409696,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-78.34717528492546,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-94.46986601858342,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-51.622465117124925,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-97.84327657617247,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-190.47488816243757,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-58.531578982030204,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-152.55807440482778,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-123.1482299266921,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-111.80585631654667,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-117.40953613719545,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-140.40023113932153,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-69.08659679811791,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-111.63633155770579,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-164.61013126964858,"{0: 11, 1: 3, 2: 8, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 0}",25,0,-94.58932037748161,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 0}",20,0,-59.2751892103115,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 0}",30,0,-111.96682155344158,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 0}",20,0,-128.7368267910576,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 0}",20,0,-108.22083972535606,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 0}",30,0,-130.98562812846475,"{0: 16, 1: 4, 2: 7, 3: 3, 4: 0}",0
7,True,"{'a': 0.5, 'e': 0}",30,0,-216.44745140360305,"{0: 14, 1: 2, 2: 10, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 0}",20,4,-93.46487257769404,"{0: 10, 1: 1, 2: 2, 3: 2, 4: 1}",1
9,True,"{'a': 0.5, 'e': 0}",20,0,-97.0849255998215,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 0}",20,0,-181.2053697802621,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
