trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.06194455399549,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-207.43698844801168,"{0: 7, 1: 3, 2: 4, 3: 4, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,1,-65.08433541974716,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.78079613792724,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.50597609415965,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.21137862790948,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.83670399943642,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,9,-59.42405323826573,"{0: 11, 1: 5, 2: 5, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.93927734531032,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-75.14962437202128,"{0: 22, 1: 1, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.1652543793882,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-252.46662200629638,"{0: 13, 1: 2, 2: 11, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.23640558270594,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.49089632288585,"{0: 10, 1: 5, 2: 6, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.55778122236924,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.84754387593128,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,13,-97.04107444040707,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.14645084249806,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,9,-57.18007985306288,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.74071984877077,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-126.52923717719733,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-158.99493613377618,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,9,-91.65092620449103,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-198.90640724644493,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.1659271058029,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-100.62762096704378,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-222.7807249204642,"{0: 8, 1: 5, 2: 9, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.74749119234289,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.96717374987054,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-248.9350499210596,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 5}",0
